,h,l,v,q,a,n,v5,q5,r,r5,a50,a100,a200,a500
AVA-USDT,2.992821,0.974955,18049177.153644424,10252595.744965319,1.7604495098236685,1756.0,3109.2655771156665,2768.942470396,0.025180793849658312,0.005315599999999953,1.1505710665730664,1.1498572129353448,1.118104987822247,1.1656558812959006
DEXE-USDT,27.083,5.561,18006284.784637526,1190900.6267621,15.119888578440179,1755.0,386.34204819895797,58.855430518000006,0.23903760683760683,0.031200000000000117,6.649534396655419,6.518561779531259,6.461391546146498,6.668359928018029
SUTER-USDT,0.0094218,0.0028698,18003310.946850102,2908737415.683144,0.006189390231576423,1756.0,891.9519877839181,295254.75275216,0.00013563445330296128,3.045999999999995e-05,0.0031237948269434946,0.003142848486480599,0.0032049031706765014,0.003772632531077946
SDN-USDT,2.91,0.82,17801623.039809946,9245506.28595148,1.9254351778289807,1755.0,455.49853773312,433.86025087999997,0.030074074074074076,0.011999999999999966,1.0991608964774742,1.0799040080603606,1.0158245118944904,1.2191343564233383
EQZ-USDT,0.4707,0.102,17681898.190638147,72194843.52949066,0.24491912893218362,1756.0,6143.3193827939995,51245.70646,0.005124487471526194,0.002379999999999999,0.118839065656211,0.11700982694394405,0.11735517847036424,0.14769874404352648
CREAM-USDT,333.03,21.67,17617023.190750442,354002.60730761,49.7652356990754,1673.0,1637.90370364,50.101119999999995,1.4864255827854154,0.2607999999999997,33.026247685149265,32.206410636645025,34.70021934745876,59.000155927373434
POLX-USDT,0.00160165,0.0003706,17603566.374133408,20566402001.368813,0.0008559380669969297,1756.0,509.8356920413356,1190902.384982936,2.251381548974943e-05,4.228000000000012e-06,0.00043600048263128707,0.0004350268220184477,0.0004441247326712243,0.000609179366728946
BUY-USDT,0.0451,0.0108,17508108.373887837,582008533.3689208,0.03008221936634369,1756.0,212.1853881974194,14578.405253701998,0.0005182801822323463,4.0000000000000105e-05,0.015356833044171972,0.015382972382778989,0.01593160237645077,0.016964653570745985
DAPPX-USDT,0.056,0.01611,17445105.043089453,596034622.3749349,0.029268610225322834,1756.0,8116.188617542401,496111.75142,0.0006930011389521638,0.00014599999999999891,0.016947715988692495,0.017070610829237137,0.017424338038002606,0.018628887680804805
ZEE-USDT,0.7509,0.1054,17416817.12929465,49663219.09010269,0.3506985138779621,1756.0,149.941437206,1172.33252,0.004753986332574032,0.0006800000000000029,0.13204182739379516,0.12658934903571262,0.12297858904909839,0.1471072022461588
ONT-USDT,1.09577,0.406,17388771.34458898,22855705.3235121,0.760806595047444,1756.0,1671.2600653565719,3470.060268712,0.009004367881548977,0.0046380000000000084,0.4969238847770214,0.48660183595216233,0.47326971337366014,0.5086311892860595
